Predation effect,Response measured,Invertebrate or Vertebrate,orgnaim type,specific response measured,year published,citation
NCE,Fitness correlate,Invertebrate,Crustacean,Condition,2017,"Dudley, B.D., Mackenzie, R.A., Sakihara, T.S., Riney, M.H. & Ostertag, R. (2017). Effects of invasion at two trophic levels on diet, body condition, and population size structure of Hawaiian red shrimp. Ecosphere, 8."
NCE,Fitness correlate,Vertebrate,Bird,Growth,2010,"Dunn, J.C., Hamer, K.C. & Benton, T.G. (2010). Fear for the family has negative consequences: Indirect effects of nest predators on chick growth in a farmland bird. J. Appl. Ecol., 47, 994–1002."
TMIE,Fitness correlate,Vertebrate,Mammal,Tissue,2016,"Flagel, D.G., Belovsky, G.E. & Beyer, D.E. (2016). Natural and experimental tests of trophic cascades: gray wolves and white-tailed deer in a Great Lakes forest. Oecologia, 180, 1183–1194."
TMIE,Abundance,Vertebrate,Mammal,density,2016,"Flagel, D.G., Belovsky, G.E. & Beyer, D.E. (2016). Natural and experimental tests of trophic cascades: gray wolves and white-tailed deer in a Great Lakes forest. Oecologia, 180, 1183–1194."
TMIE,Fitness correlate,Vertebrate,Mammal,Biomass,2008,"Frank, D.A. (2008). Evidence for top predator control of a grazing ecosystem. Oikos, 117, 1718–1724."
NCE,Fitness correlate,Vertebrate,Mammal,Mortality,2018,"Gehr, B., Hofer, E.J., Pewsner, M., Ryser, A., Vimercati, E., Vogt, K., et al. (2018). Hunting-mediated predator facilitation and superadditive mortality in a European ungulate. Ecol. Evol., 8, 109–119."
NCE,Fitness correlate,Vertebrate,Mammal,Mortality,2018,"Gehr, B., Hofer, E.J., Ryser, A., Vimercati, E., Vogt, K. & Keller, L.F. (2018). Evidence for nonconsumptive effects from a large predator in an ungulate prey? Behav. Ecol., 29, 724–735."
TMIE,Fitness correlate,Vertebrate,Bird,Reproduction,2015,"Greeney, H.F., Meneses, M.R., Hamilton, C.E., Lichter-Marck, E., Mannan, R.W., Snyder, N., et al. (2015). Trait-mediated trophic cascade creates enemy-free space for nesting hummingbirds. Sci. Adv., 1, 1–6."
NCE,Fitness correlate,Vertebrate,Fish,"Growth, Reproduction",2016,"Hall, A.E. & Kingsford, M.J. (2016). Variation in the population demographics of Scolopsis bilineatus in response to predators. Coral Reefs, 35, 1173–1185."
NCE,Fitness correlate,Vertebrate,Bird,Reproduction,2014,"Jaatinen, K., Seltmann, M.W. & Öst, M. (2014). Context-dependent stress responses and their connections to fitness in a landscape of fear. J. Zool., 294, 147–153."
TMIE,Abundance,Vertebrate,Mammal,density,2010,"Kauffman, M.J., Brodie, J.F. & Jules, E.S. (2010). Are wolves saving Yellowstone’s aspen? A landscape-level test of a behaviorally mediated trophic cascade. Ecology, 91, 2742–2755."
NCE,Fitness correlate,Vertebrate,Amphibian,Growth,2016,"Kenison, E.K., Litt, A.R., Pilliod, D.S. & McMahon, T.E. (2016). Larval long- Toed salamanders incur nonconsumptive effects in the presence of nonnative trout. Ecosphere, 7, 1–11."
TMIE,Fitness correlate,Invertebrate,Mollusca,Biomass,2012,"Kimbro, D.L. (2012). Tidal regime dictates the cascading consumptive and nonconsumptive effects of multiple predators on a marsh plant. Ecology, 93, 334–344."
NCE,Fitness correlate,Vertebrate,Bird,Reproduction,2016,"Lamanna, J.A. & Martin, T.E. (2016). Costs of fear: Behavioural and life-history responses to risk and their demographic consequences vary across species. Ecol. Lett., 19, 403–413."
NCE,Fitness correlate,Vertebrate,Mammal,Reproduction,2013,"Leblond, M., Dussault, C. & Ouellet, J.P. (2013). Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences? PLoS One, 8."
TMIE,Abundance,Invertebrate,Insect,density,2009,"Lebrun, E.G., Plowes, R.M. & Gilbert, L.E. (2009). Indirect competition facilitates widespread displacement of one naturalized parasitoid of imported fire ants by another. Ecology, 90, 1184–1194."
TMIE,Abundance,Vertebrate,Mammal,density,2011,"Letnic, M. & Dworjanyn, S.A. (2011). Does a top predator reduce the predatory impact of an invasive mesopredator on an endangered rodent? Ecography (Cop.)., 34, 827–835."
NCE,Abundance,Vertebrate,Mammal,density,2001,"Lima, M., Julliard, R., Stenseth, N.C. & Jaksic, F.M. (2001). Demographic dynamics of a neotropical small rodent (Phyllotis darwini): Feedback structure, predation and climatic factors. J. Anim. Ecol., 70, 761–775."
NCE,Fitness correlate,Vertebrate,Mammal,Condition,2016,"Mabille, G., Stien, A., Tveraa, T., Mysterud, A., Brøseth, H. & Linnell, J.D.C. (2016). Mortality and lamb body mass growth in free-ranging domestic sheep – environmental impacts including lethal and non-lethal impacts of predators. Ecography (Cop.)., 39, 763–773."
NCE,Fitness correlate,Vertebrate,Mammal,"Growth, Mortality",2014,"Macleod, C.D., Macleod, R., Learmonth, J.A., Cresswell, W. & Pierce, G.J. (2014). Predicting population-level risk effects of predation from the responses of individuals. Ecology, 95, 2006–2015."
TMIE,Abundance,Vertebrate,Fish,density,2011,"Madin, E.M.P., Gaines, S.D., Madin, J.S. & Warner, R.R. (2010). Fishing indirectly structures macroalgal assemblages by altering herbivore behavior. Am. Nat., 176, 785–801."
TMIE,Abundance,Vertebrate,Fish,density,2010,"Madin, E.M.P., Madin, J.S. & Booth, D.J. (2011). Landscape of fear visible from space. Sci. Rep., 1, 1–4."
NCE,Fitness correlate,Vertebrate,Bird,Reproduction,2016,"Møller, A.P., Flensted-Jensen, E. & Nielsen, J.T. (2016). Indirect effects of the generalist avian predator, the goshawk, on life history of an uncommon prey species, the stock dove. Oecologia, 182, 1045–1052."
NCE,Fitness correlate,Vertebrate,Bird,Reproduction,2016,"Mueller, A.K., Chakarov, N., Heseker, H. & Krüger, O. (2016). Intraguild predation leads to cascading effects on habitat choice, behaviour and reproductive performance. J. Anim. Ecol., 85, 774–784."
TMIE,Fitness correlate,Vertebrate,Bird,Reproduction,2016,"Mueller, A.K., Chakarov, N., Heseker, H. & Krüger, O. (2016). Intraguild predation leads to cascading effects on habitat choice, behaviour and reproductive performance. J. Anim. Ecol., 85, 774–784."
TMIE,Fitness correlate,Vertebrate,Fish,Mortality,2012,"Pangle, K.L., Malinich, T.D., Bunnell, D.B., DeVries, D.R. & Ludsin, S.A. (2012). Context-dependent planktivory: interacting effects of turbidity and predation risk on adaptive foraging. Ecosphere, 3, art114."
TMIE,Fitness correlate,Invertebrate,Insect,Reproduction,2011,"Pardee, G.L. & Philpott, S.M. (2011). Cascading indirect effects in a coffee agroecosystem: Effects of parasitic phorid flies on ants and the coffee berry borer in a high-shade and low-shade habitat. Environ. Entomol., 40, 581–588."
TMIE,Fitness correlate,Vertebrate,Mammal,Tissue,2015,"Pierce, J.L.B., Dalinsky, S.A., Chenaille, A.A., Lolya, L.M., Maguder, J.L., Mattilio, C., et al. (2015). Scale-dependent effects of coyote-predation risk on patterns of white-tailed deer browsing along linear forest edges. Northeast. Nat., 22, 262–272."
TMIE,Abundance,Invertebrate,Crustacean,density,2000,"Raimondi, P.T., Forde, S.E., Delph, L.F. & Lively, C.M. (2000). Processes structuring communities: Evidence for trait-mediated indirect effects through induced polymorphisms. Oikos, 91, 353–361."
TMIE,Abundance,Vertebrate,Fish,density,2017,"Rasher, D.B., Hoey, A.S. & Hay, M.E. (2017). Cascading predator effects in a Fijian coral reef ecosystem. Sci. Rep., 7, 1–10."
NCE,Fitness correlate,Vertebrate,Fish,"Growth, Mortality",2010,"Rennie, M.D., Purchase, C.F., Shuter, B.J., Collins, N.C., Abrams, P.A. & Morgan, G.E. (2010). Prey life-history and bioenergetic responses across a predation gradient. J. Fish Biol., 77, 1230–1251."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2004,"Ripple, W.J. & Beschta, R.L. (2004). Wolves, elk, willows, and trophic cascades in the upper Gallatin Range of southwestern Montana, USA. For. Ecol. Manage., 200, 161–181."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2006,"Ripple, W.J. & Beschta, R.L. (2003). Wolf reintroduction, predation risk, and cottonwood recovery in Yellowstone National Park. For. Ecol. Manage., 184, 299–313."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2007,"Ripple, W.J. & Beschta, R.L. (2006). Linking wolves to willows via risk-sensitive foraging by ungulates in the northern Yellowstone ecosystem. For. Ecol. Manage., 230, 96–106."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2012,"Ripple, W.J. & Beschta, R.L. (2007). Restoring Yellowstone’s aspen with wolves. Biol. Conserv., 138."
TMIE,Abundance,Vertebrate,Mammal,density,2004,"Ripple, W.J. & Beschta, R.L. (2012). Trophic cascades in Yellowstone: The first 15years after wolf reintroduction. Biol. Conserv., 145, 205–213."
TMIE,Fitness correlate,Vertebrate,Mammal,Growth,2003,"Ripple, W.J. & Beschta, R.L. (2012). Trophic cascades in Yellowstone: The first 15years after wolf reintroduction. Biol. Conserv., 145, 205–213."
TMIE,Fitness correlate,Invertebrate,Insect,Tissue,2011,"Rosau, C.S. & DeSouza, O. (2011). Spiders, ants and an amazonian myrmecophyte: A tale of trophic cascades. Sociobiology, 58, 403–418."
TMIE,Fitness correlate,Vertebrate,Mammal,Reproduction,2006,"Schmidt, K.A. (2006). Non-additivity among multiple cues of predation risk: A behaviorally-driven trophic cascade between owls and songbirds. Oikos, 113, 82–90."
TMIE,Abundance,Invertebrate,Insect,density,2017,"Schmitz, O.J., Buchkowski, R.W., Smith, J.R., Telthorst, M. & Rosenblatt, A.E. (2017). Predator community composition is linked to soil carbon retention across a human land use gradient. Ecology, 98, 1256–1265."
NCE,Fitness correlate,Vertebrate,Mammal,"Reproduction, Condition",2009,"Sheriff, M.J., Mcmahon, E.K., Krebs, C.J. & Boonstra, R. (2015). Predator-induced maternal stress and population demography in snowshoe hares: The more severe the risk, the longer the generational effect. J. Zool., 296, 305–310."
NCE,Pop. growth rate,Vertebrate,Mammal,density,2015,"Sheriff, M.J., Krebs, C.J. & Boonstra, R. (2009). The sensitive hare: Sublethal effects of predator stress on reproduction in snowshoe hares. J. Anim. Ecol., 78, 1249–1258."
NCE,Abundance,Vertebrate,Mammal,density,2015,"Sheriff, M.J., Krebs, C.J. & Boonstra, R. (2009). The sensitive hare: Sublethal effects of predator stress on reproduction in snowshoe hares. J. Anim. Ecol., 78, 1249–1258."
TMIE,Fitness correlate,Vertebrate,Mammal,Reproduction,2016,"Steyaert, S.M.J.G., Leclerc, M., Pelletier, F., Kindberg, J., Brunberg, S., Swenson, J.E., et al. (2016). Human shields mediate sexual conflict in a top predator. Proc. R. Soc. B, 283, 20160906."
TMIE,Fitness correlate,Vertebrate,Mammal,Reproduction,2016,"Thomsen, S.K. & Green, D.J. (2016). Cascading effects of predation risk determine how marine predators become terrestrial prey on an oceanic island. Ecology, 97, 3530–3537."
TMIE,Abundance,Vertebrate,Fish,density,2007,"Valentine, J.F., Heck, K.L., Blackmon, D., Goecker, M.E., Christian, J., Kroutil, R.M., et al. (2007). Food web interactions along seagrass-coral reef boundaries: Effects of piscivore reductions on cross-habitat energy exchange. Mar. Ecol. Prog. Ser., 333, 37–50."
NCE,Fitness correlate,Vertebrate,Fish,Growth,2011,"Ward, D. M., Nislow, & K.H., Folt, C.L. (2011). Seasonal shift in the effect of predators on juvenile Atlantic salmon (Salmo salar) energetics. Can. J. Fish. Aquat. Sci., 68, 80–2089."
NCE,Fitness correlate,Vertebrate,Mammal,"Condition, Reproduction",2011,"White, P.J., Garrott, R.A., Hamlin, K.L., Cook, R.C., Cook, J.G. & Cunningham, J.A. (2011). Body condition and pregnancy in northern Yellowstone elk: Evidence for predation risk effects? Ecol. Appl., 21, 3–8."
TMIE,Fitness correlate,Vertebrate,Mammal,Reproduction,2012,"Winnie, J.A. (2012). Predation risk, elk, and aspen: Tests of a behaviorally mediated trophic cascade in the Greater Yellowstone Ecosystem. Ecology, 93, 2600–2614."
NCE,Fitness correlate,Vertebrate,Bird,Reproduction,2006,"Zanette, L., Clinchy, M. & Smith, J.N.M. (2006). Food and predators affect egg production in song sparrows. Ecology, 87, 2459–2467."
