Date	JulianDay	LimncalanusM	LimncalanusF	D.mendotae	Prior_to_1st_Daphnia_obs	Bythotrephes
8/12/03	224	2.198	1.39	19.025	0	0.282
8/28/03	239	1.872	2.407	30.03	0	0.658
9/10/03	253	4.34	2.493	33.413	0	0.306
9/29/03	272	0.884	1.031	2.384	0	0.048
10/14/03	287	1.318	0.959	0.955	0	0.236
10/27/03	300	1.217	1.688	0.512	0	0.654
3/20/07	79	0	0	0.022	0	0
4/9/07	99	0	0	0.026	0	0
5/10/07	130	0.094	1.638	0	0	0.003
6/25/07	176	1.594	1.907	0	0	0.004
7/30/07	211	3.763	3.392	0.433	0	0.075
8/13/07	225	3.318	4.368	5.207	0	2.943
9/5/07	248	3	3.482	0.729	0	1.511
10/1/07	274	1.456	2.022	4.21	0	1.803
11/13/07	317	3.446	4.098	0.157	0	1.965
12/4/07	338	0.894	1.868	0.1	0	0.576
3/31/08	91	0.787	0.78	0	1	0.004
5/5/08	126	0	5.593	0.048	0	0
6/5/08	157	1.986	9.577	0.039	0	0
7/7/08	189	3.353	4.987	0.212	0	0.158
8/13/08	226	2.11	3.182	4.004	0	1.392
9/2/08	246	3.116	4.361	3.08	0	0.535
10/15/08	289	3.098	4.026	4.365	0	1.402
11/3/08	308	0.555	0.689	0.364	0	3.131
4/2/09	92	0.181	0.631	0	1	0
5/14/09	134	0.094	0.432	0	1	0
6/11/09	162	0.438	1.774	0	1	0.003
7/6/09	188	1.695	2.545	0.012	0	0.139
8/5/09	217	0.99	1.88	0.058	0	0.513
9/14/09	257	1.297	0.475	7.7	0	0.46
10/20/09	293	2.054	2.303	0.701	0	1.272
11/9/09	313	2.385	3.489	0.113	0	0.71
3/16/10	75	0.842	1.056	0	1	0
4/5/10	95	0.34	1.632	0	1	0
4/17/10	117	0.367	0.809	0	1	0
5/6/10	126	0.09	0.688	0.007	0	0
5/17/10	137	0.503	0.437	0.007	0	0
6/6/10	157	0.449	2.509	0.046	0	0.023
6/14/10	165	0	1.025	0	0	0.066
7/1/10	182	1.201	0.888	0.031	0	0.424
7/26/10	207	1.23	1.615	0.061	0	0.584
8/3/10	215	0.871	2.639	0.412	0	0.704
8/17/10	229	0.342	0.685	0.909	0	0.304
9/9/10	252	0.96	1.451	2.376	0	0.109
10/18/10	291	1.032	1.998	32.645	0	0.944
11/1/10	305	0.297	1.336	0.598	0	1.406
12/3/10	337	1.109	1.478	0.223	0	0.304
3/28/11	87	0.152	0.147	0	1	0
4/12/11	102	0	0	0	1	0
5/5/11	125	0.072	0	0	1	0
6/6/11	157	0.105	1.286	0	1	0.005
7/12/11	193	2.153	3.206	0	1	0.025
8/8/11	220	1.672	2.091	2.413	0	0.562
9/6/11	249	2.23	1.494	74.947	0	1.094
10/3/11	276	2.117	2.978	0.791	0	2.175
11/4/11	308	0	1.01	0.14	0	0.043
12/13/11	347	0.584	0.513	0.069	0	0.023
3/13/12	72	0.986	0.766	0.096	0	0
4/3/12	93	0.472	0.426	0.03	0	0
4/29/12	119	0.17	0.692	0.081	0	0.003
6/4/12	155	1.438	2.431	0.189	0	0.002
6/26/12	177	1.507	3.139	2.003	0	0.002
7/5/12	186	2.832	1.633	7.753	0	0.048
7/26/12	207	5.037	5.688	54.088	0	1.715
8/7/12	219	0.799	0.762	24.382	0	1.201
9/4/12	247	3.025	1.962	11.714	0	0.754
10/23/12	296	0.295	0	0.314	0	0.408
11/5/12	309	0.884	2.19	2.359	0	0.895
12/17/12	351	1.097	0.62	0.112	0	0.008
