site,fullrep,posi,fullreppos,allfishbite,allfishmsbite,svbite,svmsbite,kvbite,kvmsbite,camtime,allbrate,allmsbrate,svbrate,svmsbrate,kvbrate,kvmsbrate,svmsbrateR
ks,ks_6_1,2,ks_6_1_2,173,44.37602059,132,35.6681798,0,0,4.291111111,40.32,10.34,30.76,8.31,0,0,8
ks,ks_6_1,3,ks_6_1_3,158,42.9710868,131,35.39796632,0,0,3.98,39.7,10.8,32.91,8.89,0,0,9
ks,ks_6_1,4,ks_6_1_4,217,69.98692825,150,40.5320225,51,26.44610773,4.205833333,51.6,16.64,35.66,9.64,12.13,6.29,10
ks,ks_6_2,1,ks_6_2_1,13,2.65625011,9,2.43192135,0,0,4.148888889,3.13,0.64,2.17,0.59,0,0,1
ks,ks_6_2,2,ks_6_2_2,127,34.76479565,105,28.37241575,0,0,4.147777778,30.62,8.38,25.31,6.84,0,0,7
ks,ks_6_2,3,ks_6_2_3,222,72.60902912,136,36.74903373,40,19.86593125,4.198611111,52.87,17.29,32.39,8.75,9.53,4.73,9
ks,ks_6_2,4,ks_6_2_4,330,106.089555,239,64.58102252,78,38.73856594,4.219444444,78.21,25.14,56.64,15.31,18.49,9.18,15
ks,ks_8_1,1,ks_8_1_1,67,16.89882797,39,10.24109469,0,0,4.124166667,16.25,4.1,9.46,2.48,0,0,2
ks,ks_8_1,2,ks_8_1_2,156,41.24546748,146,39.45116857,0,0,4.253333333,36.68,9.7,34.33,9.28,0,0,9
ks,ks_8_1,3,ks_8_1_3,285,77.86920485,219,59.17675285,0,0,4.183333333,68.13,18.61,52.35,14.15,0,0,14
ks,ks_8_1,4,ks_8_1_4,249,69.06025927,192,51.8809888,0,0,4.178611111,59.59,16.53,45.95,12.42,0,0,12
ks,ks_8_2,1,ks_8_2_1,86,22.8729416,78,21.0766517,0,0,4.230277778,20.33,5.41,18.44,4.98,0,0,5
ks,ks_8_2,2,ks_8_2_2,176,46.20260194,153,41.34266295,0,0,4.264722222,41.27,10.83,35.88,9.69,0,0,10
ks,ks_8_2,3,ks_8_2_3,190,52.04366201,159,42.96394385,0,0,4.158055556,45.69,12.52,38.24,10.33,0,0,10
ks,ks_8_2,4,ks_8_2_4,147,40.03599178,134,36.20860677,0,0,4.129722222,35.6,9.69,32.45,8.77,0,0,9
rl,rl_1_1,1,rl_1_1_1,105,27.70598407,105,27.70598407,0,0,4.178333333,25.13,6.63,25.13,6.63,0,0,7
rl,rl_1_1,2,rl_1_1_2,512,136.5020086,510,136.1652058,0,0,4.261666667,120.14,32.03,119.67,31.95,0,0,32
rl,rl_1_1,3,rl_1_1_3,583,158.8233751,571,155.6950944,0,0,3.98,146.48,39.91,143.47,39.12,0,0,39
rl,rl_1_1,4,rl_1_1_4,881,240.5489914,873,235.896371,0,0,4.111666667,214.27,58.5,212.32,57.37,0,0,57
rl,rl_1_2,1,rl_1_2_1,38,11.24795143,32,8.646831467,0,0,4.141111111,9.18,2.72,7.73,2.09,0,0,2
rl,rl_1_2,2,rl_1_2_2,295,82.68792084,288,78.32534421,0,0,4.083055556,72.25,20.25,70.54,19.18,0,0,19
rl,rl_1_2,3,rl_1_2_3,639,202.9773871,567,154.5845966,45,32.53259236,4.311666667,148.2,47.08,131.5,35.85,10.44,7.55,36
rl,rl_1_2,4,rl_1_2_4,580,158.9160756,559,151.0493372,0,0,4.095,141.64,38.81,136.51,36.89,0,0,37
rl,rl_3_1,1,rl_3_1_1,54,14.5915281,54,14.5915281,0,0,4.080833333,13.23,3.58,13.23,3.58,0,0,4
rl,rl_3_1,2,rl_3_1_2,28,7.565977534,28,7.565977534,0,0,4.168055556,6.72,1.82,6.72,1.82,0,0,2
rl,rl_3_1,3,rl_3_1_3,267,87.41546142,235,63.50016858,26,19.37063366,4.182222222,63.84,20.9,56.19,15.18,6.22,4.63,15
rl,rl_3_1,4,rl_3_1_4,370,122.2602001,324,87.5491686,43,32.03604798,3.98,92.96,30.72,81.41,22,10.8,8.05,22
rl,rl_3_2,1,rl_3_2_1,3,1.869675697,0,0,0,0,4.080833333,0.74,0.46,0,0,0,0,0
rl,rl_3_2,2,rl_3_2_2,0,0,0,0,0,0,4.119444444,0,0,0,0,0,0,0
rl,rl_3_2,3,rl_3_2_3,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0
rl,rl_3_2,4,rl_3_2_4,15,4.323415733,15,4.323415733,0,0,4.193611111,3.58,1.03,3.58,1.03,0,0,1
rl,rl_5_1,1,rl_5_1_1,107,29.26585447,106,28.64262923,0,0,4.217222222,25.37,6.94,25.14,6.79,0,0,7
rl,rl_5_1,2,rl_5_1_2,162,44.4806078,160,43.23415733,0,0,4.029444444,40.2,11.04,39.71,10.73,0,0,11
rl,rl_5_1,3,rl_5_1_3,322,93.22321839,312,84.3066068,0,0,4.119444444,78.17,22.63,75.74,20.47,0,0,20
rl,rl_5_1,4,rl_5_1_4,270,72.84588595,268,72.41721354,0,0,4.138333333,65.24,17.6,64.76,17.5,0,0,18
rl,rl_5_2,1,rl_5_2_1,89,24.04900002,89,24.04900002,0,0,4.071388889,21.86,5.91,21.86,5.91,0,0,6
rl,rl_5_2,2,rl_5_2_2,193,52.86118307,186,50.2597079,0,0,4.0475,47.68,13.06,45.95,12.42,0,0,12
rl,rl_5_2,3,rl_5_2_3,228,61.6086742,228,61.6086742,0,0,4.054722222,56.23,15.19,56.23,15.19,0,0,15
rl,rl_5_2,4,rl_5_2_4,337,91.06194389,337,91.06194389,0,0,4.054722222,83.11,22.46,83.11,22.46,0,0,22
rl,rl_7_1,1,rl_7_1_1,18,4.8638427,18,4.8638427,0,0,4.054722222,4.44,1.2,4.44,1.2,0,0,1
rl,rl_7_1,2,rl_7_1_2,81,21.88729215,81,21.88729215,0,0,4.143055556,19.55,5.28,19.55,5.28,0,0,5
rl,rl_7_1,3,rl_7_1_3,665,246.7829371,512,138.3493035,142,105.7934608,4.206944444,158.07,58.66,121.7,32.89,33.75,25.15,33
rl,rl_7_1,4,rl_7_1_4,553,172.011308,481,129.9726855,46,34.27112109,4.147777778,133.32,41.47,115.97,31.34,11.09,8.26,31
rl,rl_7_2,1,rl_7_2_1,166,53.37726289,146,39.45116857,12,8.940292459,4.106666667,40.42,13,35.55,9.61,2.92,2.18,10
rl,rl_7_2,2,rl_7_2_2,144,40.33517427,141,38.10010115,3,2.235073115,4.011944444,35.89,10.05,35.15,9.5,0.75,0.56,10
rl,rl_7_2,3,rl_7_2_3,512,150.7991763,476,129.8812706,16,11.92038995,3.98,128.64,37.89,119.6,32.63,4.02,3,33
rl,rl_7_2,4,rl_7_2_4,638,184.2773321,598,161.587663,17,12.66541432,4.086388889,156.13,45.1,146.34,39.54,4.16,3.1,40
