species,tank,cage,individual,treatment,act.mm,head.width.mm,fish,act.avg,unique.ind,unique.cage.1
ensi,3,2,5,free.fish,46,2.45771,0,193.3571429,110,9
ensi,3,2,8,free.fish,377,2.202733,0,193.3571429,111,9
ensi,3,2,9,free.fish,271,2.643356,0,193.3571429,112,9
ensi,3,2,10,free.fish,120,2.120933,0,193.3571429,113,9
ensi,3,2,11,free.fish,258,1.653449,0,193.3571429,114,9
ensi,3,2,12,free.fish,212,2.393612,0,193.3571429,115,9
ensi,3,2,13,free.fish,214,2.010436,0,193.3571429,116,9
ensi,3,2,14,free.fish,83,2.470742,0,193.3571429,117,9
ensi,3,2,15,free.fish,173,2.229895,0,193.3571429,118,9
ensi,3,2,16,free.fish,216,1.697855,0,193.3571429,119,9
ensi,4,1,1,free.fish,370,2.440799,0,230.5333333,120,10
ensi,4,1,2,free.fish,342,2.848564,0,230.5333333,121,10
ensi,4,1,3,free.fish,359,2.462227,0,230.5333333,122,10
ensi,4,1,4,free.fish,226,2.428107,0,230.5333333,123,10
ensi,4,1,5,free.fish,306,2.090514,0,230.5333333,124,10
ensi,4,1,6,free.fish,165,2.032027,0,230.5333333,125,10
ensi,4,1,7,free.fish,86,2.73508,0,230.5333333,126,10
ensi,4,1,8,free.fish,243,2.604116,0,230.5333333,127,10
ensi,4,1,9,free.fish,108,2.507987,0,230.5333333,128,10
ensi,4,1,10,free.fish,309,2.575749,0,230.5333333,129,10
ensi,4,1,11,free.fish,181,1.679183,0,230.5333333,130,10
ensi,4,1,12,free.fish,89,2.72615,0,230.5333333,131,10
ensi,4,1,13,free.fish,157,1.843895,0,230.5333333,132,10
ensi,4,1,14,free.fish,433,1.671823,0,230.5333333,133,10
ensi,4,1,15,free.fish,84,1.322579,0,230.5333333,134,10
ensi,4,2,1,free.fish,328,2.609796,0,176.4285714,135,11
ensi,4,2,2,free.fish,272,2.086719,0,176.4285714,136,11
ensi,4,2,3,free.fish,31,2.287974,0,176.4285714,137,11
ensi,4,2,4,free.fish,50,2.397984,0,176.4285714,138,11
ensi,4,2,5,free.fish,148,2.351467,0,176.4285714,139,11
ensi,4,2,6,free.fish,242,2.260992,0,176.4285714,140,11
ensi,4,2,7,free.fish,126,2.621012,0,176.4285714,141,11
ensi,4,2,8,free.fish,63,2.19001,0,176.4285714,142,11
ensi,4,2,9,free.fish,159,2.548665,0,176.4285714,143,11
ensi,4,2,10,free.fish,198,2.465295,0,176.4285714,144,11
ensi,4,2,11,free.fish,178,1.971628,0,176.4285714,145,11
ensi,4,2,12,free.fish,303,2.525381,0,176.4285714,146,11
ensi,4,2,13,free.fish,372,1.904602,0,176.4285714,147,11
ensi,4,2,14,free.fish,0,1.992649,0,176.4285714,148,11
ensi,4,3,1,free.fish,133,2.72389,0,140.0714286,149,12
ensi,4,3,2,free.fish,122,2.260497,0,140.0714286,150,12
ensi,4,3,3,free.fish,178,1.832801,0,140.0714286,151,12
ensi,4,3,4,free.fish,68,2.536512,0,140.0714286,152,12
ensi,4,3,5,free.fish,320,2.546826,0,140.0714286,153,12
ensi,4,3,6,free.fish,80,2.22392,0,140.0714286,154,12
ensi,4,3,7,free.fish,113,2.308109,0,140.0714286,155,12
ensi,4,3,8,free.fish,32,2.397305,0,140.0714286,156,12
ensi,4,3,9,free.fish,35,2.243696,0,140.0714286,157,12
ensi,4,3,10,free.fish,175,1.717435,0,140.0714286,158,12
ensi,4,3,11,free.fish,40,1.558344,0,140.0714286,159,12
ensi,4,3,12,free.fish,446,2.012704,0,140.0714286,160,12
ensi,4,3,13,free.fish,74,1.528988,0,140.0714286,161,12
ensi,4,3,14,free.fish,145,2.269143,0,140.0714286,162,12
ensi,5,1,1,free.fish,19,2.468457,0,203.25,163,13
ensi,5,1,2,free.fish,271,1.791713,0,203.25,164,13
ensi,5,1,3,free.fish,214,2.465574,0,203.25,165,13
ensi,5,1,4,free.fish,197,2.417996,0,203.25,166,13
ensi,5,1,5,free.fish,318,2.534611,0,203.25,167,13
ensi,5,1,6,free.fish,310,2.267025,0,203.25,168,13
ensi,5,1,7,free.fish,79,2.607219,0,203.25,169,13
ensi,5,1,8,free.fish,201,1.838315,0,203.25,170,13
ensi,5,1,9,free.fish,107,2.125179,0,203.25,171,13
ensi,5,1,10,free.fish,314,2.188006,0,203.25,172,13
ensi,5,1,12,free.fish,226,1.819481,0,203.25,173,13
ensi,5,1,13,free.fish,183,1.504743,0,203.25,174,13
ensi,5,2,1,free.fish,0,2.671842,0,214.3333333,175,14
ensi,5,2,2,free.fish,172,2.507802,0,214.3333333,176,14
ensi,5,2,3,free.fish,307,1.643391,0,214.3333333,177,14
ensi,5,2,4,free.fish,131,2.205185,0,214.3333333,178,14
ensi,5,2,5,free.fish,367,2.788546,0,214.3333333,179,14
ensi,5,2,6,free.fish,250,2.156484,0,214.3333333,180,14
ensi,5,2,7,free.fish,279,2.513845,0,214.3333333,181,14
ensi,5,2,8,free.fish,213,2.518766,0,214.3333333,182,14
ensi,5,2,9,free.fish,135,2.486144,0,214.3333333,183,14
ensi,5,2,10,free.fish,280,1.970063,0,214.3333333,184,14
ensi,5,2,11,free.fish,211,2.474861,0,214.3333333,185,14
ensi,5,2,12,free.fish,187,1.6715,0,214.3333333,186,14
ensi,5,2,13,free.fish,315,2.651103,0,214.3333333,187,14
ensi,5,2,14,free.fish,190,2.059185,0,214.3333333,188,14
ensi,5,2,15,free.fish,178,1.676705,0,214.3333333,189,14
ensi,5,3,1,free.fish,86,2.530422,0,162.047619,190,15
ensi,5,3,2,free.fish,89,2.044711,0,162.047619,191,15
ensi,5,3,4,free.fish,88,2.39924,0,162.047619,192,15
ensi,5,3,5,free.fish,75,1.475356,0,162.047619,193,15
ensi,5,3,6,free.fish,180,2.654031,0,162.047619,194,15
ensi,5,3,7,free.fish,210,2.04595,0,162.047619,195,15
ensi,5,3,8,free.fish,165,2.6692,0,162.047619,196,15
ensi,5,3,9,free.fish,188,2.085362,0,162.047619,197,15
ensi,5,3,10,free.fish,122,2.80344,0,162.047619,198,15
ensi,5,3,11,free.fish,278,2.036316,0,162.047619,199,15
ensi,5,3,12,free.fish,202,2.520061,0,162.047619,200,15
ensi,5,3,13,free.fish,263,2.756799,0,162.047619,201,15
ensi,5,3,14,free.fish,108,2.018013,0,162.047619,202,15
ensi,5,3,15,free.fish,197,1.804966,0,162.047619,203,15
ensi,5,3,16,free.fish,227,2.542867,0,162.047619,204,15
ensi,5,3,17,free.fish,303,2.524623,0,162.047619,205,15
ensi,5,3,18,free.fish,110,2.045012,0,162.047619,206,15
ensi,5,3,19,free.fish,102,2.045012,0,162.047619,207,15
ensi,5,3,20,free.fish,143,1.885562,0,162.047619,208,15
ensi,5,3,21,free.fish,131,2.21448,0,162.047619,209,15
ensi,5,3,22,free.fish,136,2.514191,0,162.047619,210,15
ensi,6,1,1,cage,255,2.051302,0,236.5555556,1,16
ensi,6,1,2,cage,297,2.201466,0,236.5555556,2,16
ensi,6,1,3,cage,225,2.360624,0,236.5555556,3,16
ensi,6,1,4,cage,19,2.67833,0,236.5555556,4,16
ensi,6,1,5,cage,241,2.800764,0,236.5555556,5,16
ensi,6,1,7,cage,317,2.342303,0,236.5555556,6,16
ensi,6,1,8,cage,319,1.469518,0,236.5555556,7,16
ensi,6,1,9,cage,169,2.077193,0,236.5555556,8,16
ensi,6,1,10,cage,287,2.535687,0,236.5555556,9,16
ensi,6,2,2,cage,253,2.687073,0,292.25,10,17
ensi,6,2,3,cage,322,2.396107,0,292.25,11,17
ensi,6,2,5,cage,130,2.31479,0,292.25,12,17
ensi,6,2,6,cage,464,2.062197,0,292.25,13,17
ensi,6,3,1,cage,49,2.673213,0,199.6666667,14,18
ensi,6,3,2,cage,455,2.692783,0,199.6666667,15,18
ensi,6,3,3,cage,12,1.989712,0,199.6666667,16,18
ensi,6,3,4,cage,203,2.563933,0,199.6666667,17,18
ensi,6,3,5,cage,255,2.694767,0,199.6666667,18,18
ensi,6,3,6,cage,75,1.910056,0,199.6666667,19,18
ensi,6,3,7,cage,284,1.78588,0,199.6666667,20,18
ensi,6,3,8,cage,316,1.830856,0,199.6666667,21,18
ensi,6,3,9,cage,148,1.762098,0,199.6666667,22,18
ensi,7,1,1,cage,254,2.114377,0,246.1111111,23,19
ensi,7,1,2,cage,175,2.371942,0,246.1111111,24,19
ensi,7,1,3,cage,452,1.213031,0,246.1111111,25,19
ensi,7,1,4,cage,52,2.565647,0,246.1111111,26,19
ensi,7,1,5,cage,370,2.074769,0,246.1111111,27,19
ensi,7,1,7,cage,75,2.599099,0,246.1111111,28,19
ensi,7,1,8,cage,311,1.755507,0,246.1111111,29,19
ensi,7,1,9,cage,112,2.096109,0,246.1111111,30,19
ensi,7,1,10,cage,174,2.15695,0,246.1111111,31,19
ensi,7,1,11,cage,185,2.689754,0,246.1111111,32,19
ensi,7,1,12,cage,275,2.16062,0,246.1111111,33,19
ensi,7,1,13,cage,110,2.469409,0,246.1111111,34,19
ensi,7,1,14,cage,353,2.201981,0,246.1111111,35,19
ensi,7,1,15,cage,286,2.267078,0,246.1111111,36,19
ensi,7,1,16,cage,371,2.510645,0,246.1111111,37,19
ensi,7,1,17,cage,247,1.896514,0,246.1111111,38,19
ensi,7,1,18,cage,299,2.198768,0,246.1111111,39,19
ensi,7,1,19,cage,329,1.662766,0,246.1111111,40,19
ensi,7,3,1,cage,289,2.118287,0,272.2777778,41,20
ensi,7,3,2,cage,394,2.240806,0,272.2777778,42,20
ensi,7,3,3,cage,260,2.007328,0,272.2777778,43,20
ensi,7,3,4,cage,55,2.448925,0,272.2777778,44,20
ensi,7,3,5,cage,502,2.849742,0,272.2777778,45,20
ensi,7,3,6,cage,407,2.696982,0,272.2777778,46,20
ensi,7,3,7,cage,46,2.08881,0,272.2777778,47,20
ensi,7,3,8,cage,310,2.605913,0,272.2777778,48,20
ensi,7,3,9,cage,6,1.965384,0,272.2777778,49,20
ensi,7,3,10,cage,288,2.040385,0,272.2777778,50,20
ensi,7,3,11,cage,250,1.641456,0,272.2777778,51,20
ensi,7,3,13,cage,448,2.034816,0,272.2777778,52,20
ensi,7,3,14,cage,137,2.560503,0,272.2777778,53,20
ensi,7,3,15,cage,379,2.364936,0,272.2777778,54,20
ensi,7,3,16,cage,297,2.23068,0,272.2777778,55,20
ensi,7,3,17,cage,203,1.799066,0,272.2777778,56,20
ensi,7,3,18,cage,384,1.893036,0,272.2777778,57,20
ensi,7,3,19,cage,246,1.594599,0,272.2777778,58,20
ensi,7,2,1,cage,194,2.369588,0,205.1764706,59,21
ensi,7,2,2,cage,113,2.142437,0,205.1764706,60,21
ensi,7,2,3,cage,53,2.538445,0,205.1764706,61,21
ensi,7,2,4,cage,355,2.225516,0,205.1764706,62,21
ensi,7,2,5,cage,62,2.068351,0,205.1764706,63,21
ensi,7,2,6,cage,358,1.783176,0,205.1764706,64,21
ensi,7,2,7,cage,83,2.482708,0,205.1764706,65,21
ensi,7,2,8,cage,93,2.280547,0,205.1764706,66,21
ensi,7,2,9,cage,240,2.471742,0,205.1764706,67,21
ensi,7,2,10,cage,245,2.216425,0,205.1764706,68,21
ensi,7,2,11,cage,32,2.233238,0,205.1764706,69,21
ensi,7,2,12,cage,222,2.137385,0,205.1764706,70,21
ensi,7,2,13,cage,231,2.119143,0,205.1764706,71,21
ensi,7,2,14,cage,324,1.708066,0,205.1764706,72,21
ensi,7,2,15,cage,422,1.909676,0,205.1764706,73,21
ensi,7,2,16,cage,353,2.206926,0,205.1764706,74,21
ensi,7,2,17,cage,108,2.107133,0,205.1764706,75,21
ensi,8,3,1,cage,321,2.828266,0,243.5625,76,22
ensi,8,3,2,cage,162,2.894274,0,243.5625,77,22
ensi,8,3,3,cage,392,2.50585,0,243.5625,78,22
ensi,8,3,4,cage,342,2.149813,0,243.5625,79,22
ensi,8,3,5,cage,27,2.535745,0,243.5625,80,22
ensi,8,3,6,cage,62,2.636788,0,243.5625,81,22
ensi,8,3,7,cage,140,2.613041,0,243.5625,82,22
ensi,8,3,8,cage,310,1.920235,0,243.5625,83,22
ensi,8,3,9,cage,348,2.362396,0,243.5625,84,22
ensi,8,3,10,cage,360,2.095376,0,243.5625,85,22
ensi,8,3,11,cage,336,1.66185,0,243.5625,86,22
ensi,8,3,12,cage,21,2.034701,0,243.5625,87,22
ensi,8,3,13,cage,312,2.688315,0,243.5625,88,22
ensi,8,3,14,cage,280,2.052631,0,243.5625,89,22
ensi,8,3,15,cage,211,2.44903,0,243.5625,90,22
ensi,8,3,16,cage,273,2.642755,0,243.5625,91,22
ensi,8,2,1,cage,41,2.296778,0,294.625,92,23
ensi,8,2,3,cage,31,2.66331,0,294.625,93,23
ensi,8,2,4,cage,390,2.212299,0,294.625,94,23
ensi,8,2,5,cage,298,2.378257,0,294.625,95,23
ensi,8,2,6,cage,76,2.605983,0,294.625,96,23
ensi,8,2,7,cage,444,1.934868,0,294.625,97,23
ensi,8,2,8,cage,267,2.378257,0,294.625,98,23
ensi,8,2,9,cage,368,2.222998,0,294.625,99,23
ensi,8,2,10,cage,366,2.027924,0,294.625,100,23
ensi,8,2,11,cage,109,2.226249,0,294.625,101,23
ensi,8,2,12,cage,435,2.206673,0,294.625,102,23
ensi,8,2,13,cage,319,2.674387,0,294.625,103,23
ensi,8,2,14,cage,377,2.65676,0,294.625,104,23
ensi,8,2,15,cage,417,2.385488,0,294.625,105,23
ensi,8,2,16,cage,348,1.66185,0,294.625,106,23
ensi,8,2,17,cage,428,2.206143,0,294.625,107,23
ensi,8,1,1,cage,260,1.848727,0,303.1428571,108,24
ensi,8,1,2,cage,343,1.950686,0,303.1428571,109,24
ensi,8,1,3,cage,372,2.198847,0,303.1428571,110,24
ensi,8,1,4,cage,264,2.661892,0,303.1428571,111,24
ensi,8,1,5,cage,52,2.629757,0,303.1428571,112,24
ensi,8,1,6,cage,285,2.236068,0,303.1428571,113,24
ensi,8,1,7,cage,313,1.993433,0,303.1428571,114,24
ensi,8,1,8,cage,456,2.409124,0,303.1428571,115,24
ensi,8,1,9,cage,289,2.488408,0,303.1428571,116,24
ensi,8,1,10,cage,268,2.43061,0,303.1428571,117,24
ensi,8,1,11,cage,417,1.919998,0,303.1428571,118,24
ensi,8,1,12,cage,210,1.944934,0,303.1428571,119,24
ensi,8,1,13,cage,460,2.305425,0,303.1428571,120,24
ensi,8,1,14,cage,255,1.680353,0,303.1428571,121,24
ensi,1,1,1,free.fish,462,2.666454,1,314.7142857,1,1
ensi,1,1,2,free.fish,291,2.794158,1,314.7142857,2,1
ensi,1,1,3,free.fish,386,2.567696,1,314.7142857,3,1
ensi,1,1,4,free.fish,387,2.113504,1,314.7142857,4,1
ensi,1,1,5,free.fish,237,2.533282,1,314.7142857,5,1
ensi,1,1,6,free.fish,281,2.397829,1,314.7142857,6,1
ensi,1,1,7,free.fish,278,2.899188,1,314.7142857,7,1
ensi,1,1,8,free.fish,266,2.124909,1,314.7142857,8,1
ensi,1,1,9,free.fish,390,2.678764,1,314.7142857,9,1
ensi,1,1,10,free.fish,317,2.555624,1,314.7142857,10,1
ensi,1,1,11,free.fish,328,2.524183,1,314.7142857,11,1
ensi,1,1,12,free.fish,248,2.297021,1,314.7142857,12,1
ensi,1,1,13,free.fish,181,2.935247,1,314.7142857,13,1
ensi,1,1,14,free.fish,354,3.123583,1,314.7142857,14,1
ensi,1,2,1,free.fish,449,2.90403,1,345.4,15,2
ensi,1,2,2,free.fish,290,2.148138,1,345.4,16,2
ensi,1,2,3,free.fish,233,2.650607,1,345.4,17,2
ensi,1,2,4,free.fish,294,2.021459,1,345.4,18,2
ensi,1,2,5,free.fish,352,2.800532,1,345.4,19,2
ensi,1,2,6,free.fish,329,2.755018,1,345.4,20,2
ensi,1,2,7,free.fish,220,2.850564,1,345.4,21,2
ensi,1,2,8,free.fish,328,2.112038,1,345.4,22,2
ensi,1,2,9,free.fish,224,2.391515,1,345.4,23,2
ensi,1,2,10,free.fish,439,2.080985,1,345.4,24,2
ensi,1,3,1,free.fish,573,2.291506,1,280,30,3
ensi,1,3,2,free.fish,247,2.783967,1,280,31,3
ensi,1,3,3,free.fish,240,2.090175,1,280,32,3
ensi,1,3,4,free.fish,312,2.112664,1,280,33,3
ensi,1,3,5,free.fish,196,2.343164,1,280,34,3
ensi,1,3,6,free.fish,280,2.687412,1,280,35,3
ensi,1,3,7,free.fish,262,1.701633,1,280,36,3
ensi,1,3,8,free.fish,285,2.038138,1,280,37,3
ensi,1,3,9,free.fish,232,2.377312,1,280,38,3
ensi,1,3,10,free.fish,173,2.087885,1,280,39,3
ensi,2,1,1,free.fish,335,2.675581,1,328.8181818,40,4
ensi,2,1,2,free.fish,192,2.613156,1,328.8181818,41,4
ensi,2,1,3,free.fish,217,2.061048,1,328.8181818,42,4
ensi,2,1,4,free.fish,399,2.162664,1,328.8181818,43,4
ensi,2,1,5,free.fish,265,2.468707,1,328.8181818,44,4
ensi,2,1,6,free.fish,374,2.686244,1,328.8181818,45,4
ensi,2,1,7,free.fish,326,1.917345,1,328.8181818,46,4
ensi,2,1,8,free.fish,413,2.076064,1,328.8181818,47,4
ensi,2,1,9,free.fish,350,2.677959,1,328.8181818,48,4
ensi,2,1,10,free.fish,359,2.600889,1,328.8181818,49,4
ensi,2,1,11,free.fish,387,1.823101,1,328.8181818,50,4
ensi,2,3,1,free.fish,336,2.509911,1,357.3125,51,5
ensi,2,3,2,free.fish,462,2.672505,1,357.3125,52,5
ensi,2,3,3,free.fish,362,2.064776,1,357.3125,53,5
ensi,2,3,4,free.fish,411,2.358464,1,357.3125,54,5
ensi,2,3,5,free.fish,140,2.213803,1,357.3125,55,5
ensi,2,3,6,free.fish,331,2.137337,1,357.3125,56,5
ensi,2,3,7,free.fish,348,2.569331,1,357.3125,57,5
ensi,2,3,8,free.fish,246,1.797797,1,357.3125,58,5
ensi,2,3,9,free.fish,260,2.527941,1,357.3125,59,5
ensi,2,3,10,free.fish,486,3.03231,1,357.3125,60,5
ensi,2,3,11,free.fish,394,2.036147,1,357.3125,61,5
ensi,2,3,12,free.fish,346,2.47516,1,357.3125,62,5
ensi,2,3,13,free.fish,381,2.517643,1,357.3125,63,5
ensi,2,3,14,free.fish,372,2.079811,1,357.3125,64,5
ensi,2,3,15,free.fish,384,2.044505,1,357.3125,65,5
ensi,2,3,16,free.fish,458,2.082898,1,357.3125,66,5
ensi,2,2,1,free.fish,306,2.646165,1,311.0666667,67,6
ensi,2,2,2,free.fish,375,1.914464,1,311.0666667,68,6
ensi,2,2,3,free.fish,252,2.100861,1,311.0666667,69,6
ensi,2,2,4,free.fish,417,2.67988,1,311.0666667,70,6
ensi,2,2,5,free.fish,317,1.930209,1,311.0666667,71,6
ensi,2,2,6,free.fish,321,2.585572,1,311.0666667,72,6
ensi,2,2,7,free.fish,76,2.056772,1,311.0666667,73,6
ensi,2,2,8,free.fish,448,1.777384,1,311.0666667,74,6
ensi,2,2,9,free.fish,260,1.973088,1,311.0666667,75,6
ensi,2,2,10,free.fish,364,2.142446,1,311.0666667,76,6
ensi,2,2,11,free.fish,292,2.917792,1,311.0666667,77,6
ensi,2,2,12,free.fish,327,1.95074,1,311.0666667,78,6
ensi,2,2,13,free.fish,230,2.758763,1,311.0666667,79,6
ensi,2,2,14,free.fish,357,2.120056,1,311.0666667,80,6
ensi,2,2,15,free.fish,324,2.018369,1,311.0666667,81,6
ensi,3,1,1,free.fish,368,1.754068,1,313.6,82,7
ensi,3,1,2,free.fish,313,2.521965,1,313.6,83,7
ensi,3,1,3,free.fish,361,2.48976,1,313.6,84,7
ensi,3,1,4,free.fish,371,2.96557,1,313.6,85,7
ensi,3,1,5,free.fish,409,2.635723,1,313.6,86,7
ensi,3,1,6,free.fish,444,2.501306,1,313.6,87,7
ensi,3,1,7,free.fish,100,1.970217,1,313.6,88,7
ensi,3,1,9,free.fish,270,2.56104,1,313.6,89,7
ensi,3,1,10,free.fish,329,2.100775,1,313.6,90,7
ensi,3,1,11,free.fish,171,1.537893,1,313.6,91,7
ensi,3,3,1,free.fish,444,2.697732,1,346.4615385,92,8
ensi,3,3,2,free.fish,376,2.148429,1,346.4615385,93,8
ensi,3,3,3,free.fish,354,2.635959,1,346.4615385,94,8
ensi,3,3,4,free.fish,381,2.582091,1,346.4615385,95,8
